,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1553212800000,0.03,0.03,0.008546,0.008557,380008351.0,1553299199999,3360244.105544,12076,202730766.0,1794827.065044,0,2019-03-22,2019-03-22 23:59:59.999
1,1553299200000,0.008557,0.008913,0.0084,0.008829,862483605.0,1553385599999,7498309.065609,27237,447286957.0,3887596.832731,0,2019-03-23,2019-03-23 23:59:59.999
2,1553385600000,0.008833,0.008842,0.008362,0.008561,772263905.0,1553471999999,6673185.027653,18890,430751250.0,3723448.139072,0,2019-03-24,2019-03-24 23:59:59.999
3,1553472000000,0.00856,0.008591,0.007967,0.008138,391152943.0,1553558399999,3242048.131648,17455,223134829.0,1850134.422488,0,2019-03-25,2019-03-25 23:59:59.999
4,1553558400000,0.008136,0.008495,0.007871,0.008252,352720832.0,1553644799999,2887746.977491,12240,231323496.0,1896286.059723,0,2019-03-26,2019-03-26 23:59:59.999
5,1553644800000,0.008243,0.008884,0.008181,0.008617,1240701351.0,1553731199999,10725880.136375,20044,425193848.0,3666435.35982,0,2019-03-27,2019-03-27 23:59:59.999
6,1553731200000,0.008617,0.008813,0.008435,0.008706,71591763.0,1553817599999,614813.196826,2422,40671420.0,349685.280147,0,2019-03-28,2019-03-28 23:59:59.999
7,1553817600000,0.008699,0.0105,0.008699,0.010359,275623278.0,1553903999999,2661670.109702,13094,139159248.0,1343196.841738,0,2019-03-29,2019-03-29 23:59:59.999
8,1553904000000,0.010374,0.010395,0.009572,0.00976,153916494.0,1553990399999,1522413.027006,7413,68069576.0,672807.116228,0,2019-03-30,2019-03-30 23:59:59.999
9,1553990400000,0.009761,0.010005,0.009412,0.009887,79863881.0,1554076799999,771052.4734,3847,39430924.0,380077.915834,0,2019-03-31,2019-03-31 23:59:59.999
10,1554076800000,0.009891,0.0117,0.0098,0.011403,264704128.0,1554163199999,2922078.320275,14617,129865661.0,1435077.114755,0,2019-04-01,2019-04-01 23:59:59.999
11,1554163200000,0.011404,0.013202,0.011375,0.012482,353075471.0,1554249599999,4348795.330849,18268,173101409.0,2128796.964682,0,2019-04-02,2019-04-02 23:59:59.999
12,1554249600000,0.012482,0.014909,0.011792,0.013432,294645122.0,1554335999999,3901875.933279,19163,130441217.0,1728705.544128,0,2019-04-03,2019-04-03 23:59:59.999
13,1554336000000,0.01347,0.016856,0.013195,0.016421,508775535.0,1554422399999,7813787.45722,33402,252605262.0,3873029.727612,0,2019-04-04,2019-04-04 23:59:59.999
14,1554422400000,0.016421,0.0186,0.01581,0.018021,354457992.0,1554508799999,6074059.684257,26607,168325641.0,2888559.634326,0,2019-04-05,2019-04-05 23:59:59.999
15,1554508800000,0.017979,0.018322,0.016103,0.01664,302058354.0,1554595199999,5138402.600792,20555,117950978.0,2016005.403915,0,2019-04-06,2019-04-06 23:59:59.999
16,1554595200000,0.016546,0.01705,0.015623,0.016249,154661672.0,1554681599999,2527857.899805,10794,69838186.0,1144955.882588,0,2019-04-07,2019-04-07 23:59:59.999
17,1554681600000,0.016168,0.0176,0.014281,0.015136,427294825.0,1554767999999,6703918.419341,22151,194520227.0,3053949.051545,0,2019-04-08,2019-04-08 23:59:59.999
18,1554768000000,0.015178,0.015417,0.014258,0.015037,154957738.0,1554854399999,2288066.714754,9640,63988909.0,949930.585989,0,2019-04-09,2019-04-09 23:59:59.999
