,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
0,1555545600000,0.179,0.1831,0.16,0.17662,7414382.5,1555631999999,1305531.183089,4891,2657167.3,470032.899501,0,2019-04-18,2019-04-18 23:59:59.999
1,1555632000000,0.17706,0.2,0.16851,0.18783,19142692.7,1555718399999,3630034.087793,14545,7946302.8,1513775.817923,0,2019-04-19,2019-04-19 23:59:59.999
2,1555718400000,0.18781,0.21035,0.18717,0.2012,14645375.3,1555804799999,2969943.005009,14727,6623620.5,1343418.265359,0,2019-04-20,2019-04-20 23:59:59.999
3,1555804800000,0.20122,0.20151,0.17477,0.18542,14442477.8,1555891199999,2705866.717162,13216,7014474.0,1308360.774202,0,2019-04-21,2019-04-21 23:59:59.999
4,1555891200000,0.18597,0.193,0.17929,0.18744,5003801.4,1555977599999,932207.504214,5785,2303286.1,430837.460507,0,2019-04-22,2019-04-22 23:59:59.999
5,1555977600000,0.18733,0.18802,0.1705,0.17336,8001684.4,1556063999999,1414415.85183,6363,3286149.1,580407.881771,0,2019-04-23,2019-04-23 23:59:59.999
6,1556064000000,0.1725,0.17318,0.15269,0.15888,5151331.9,1556150399999,831280.25514,4347,2167395.4,347088.051446,0,2019-04-24,2019-04-24 23:59:59.999
7,1556150400000,0.15925,0.17218,0.15,0.15309,6349709.1,1556236799999,1040512.793012,6018,2754955.4,453875.515163,0,2019-04-25,2019-04-25 23:59:59.999
8,1556236800000,0.1543,0.16645,0.14567,0.15698,4963244.9,1556323199999,763375.927738,3602,2317317.9,356971.876267,0,2019-04-26,2019-04-26 23:59:59.999
9,1556323200000,0.15628,0.16295,0.15433,0.15755,2145464.7,1556409599999,340401.203837,2048,1009023.4,160526.1868,0,2019-04-27,2019-04-27 23:59:59.999
10,1556409600000,0.15755,0.16267,0.15301,0.15627,2036346.6,1556495999999,321380.350377,1584,964011.1,152268.085988,0,2019-04-28,2019-04-28 23:59:59.999
11,1556496000000,0.1563,0.158,0.14375,0.14792,2161365.9,1556582399999,322775.32465,1680,773890.2,115759.433244,0,2019-04-29,2019-04-29 23:59:59.999
12,1556582400000,0.14802,0.1537,0.14387,0.15299,2246150.3,1556668799999,334070.297833,1478,953375.2,141798.729719,0,2019-04-30,2019-04-30 23:59:59.999
13,1556668800000,0.15299,0.15475,0.146,0.14861,2508429.3,1556755199999,376920.92981,1693,706591.9,106380.417515,0,2019-05-01,2019-05-01 23:59:59.999
14,1556755200000,0.1486,0.15429,0.14683,0.15156,2119292.9,1556841599999,320462.180019,1480,1079212.8,163188.911292,0,2019-05-02,2019-05-02 23:59:59.999
15,1556841600000,0.15104,0.1536,0.14546,0.14996,3685918.2,1556927999999,550860.563744,2469,1365525.7,204582.37363,0,2019-05-03,2019-05-03 23:59:59.999
16,1556928000000,0.14996,0.15072,0.13654,0.14208,3137421.6,1557014399999,453748.729797,2206,1484344.6,214182.332182,0,2019-05-04,2019-05-04 23:59:59.999
17,1557014400000,0.14208,0.1479,0.13972,0.14573,1314200.3,1557100799999,188557.771225,1430,685618.8,98703.513458,0,2019-05-05,2019-05-05 23:59:59.999
18,1557100800000,0.14634,0.14634,0.139,0.14494,2549008.8,1557187199999,365252.703335,1397,849541.5,121773.092325,0,2019-05-06,2019-05-06 23:59:59.999
19,1557187200000,0.14507,0.14699,0.13532,0.138,2217046.9,1557273599999,315281.257441,2077,663287.5,94554.660283,0,2019-05-07,2019-05-07 23:59:59.999
20,1557273600000,0.13682,0.13796,0.132,0.13418,2458265.9,1557359999999,329714.694932,1614,1046614.5,140521.303263,0,2019-05-08,2019-05-08 23:59:59.999
21,1557360000000,0.13287,0.1342,0.11561,0.11724,2471322.7,1557446399999,302414.284517,2175,732775.4,90300.771341,0,2019-05-09,2019-05-09 23:59:59.999
22,1557446400000,0.11724,0.15375,0.11628,0.1387,11941110.8,1557532799999,1664147.596366,7856,4886918.2,680472.786778,0,2019-05-10,2019-05-10 23:59:59.999
23,1557532800000,0.13917,0.16476,0.1387,0.14415,19938099.0,1557619199999,3072449.773993,16191,8557716.4,1316274.331419,0,2019-05-11,2019-05-11 23:59:59.999
24,1557619200000,0.14414,0.15161,0.13813,0.14166,7872068.5,1557705599999,1138782.933246,7705,3007790.9,435365.440712,0,2019-05-12,2019-05-12 23:59:59.999
25,1557705600000,0.1414,0.14695,0.13188,0.13612,10517269.6,1557791999999,1464828.49556,8009,3578894.9,496187.738923,0,2019-05-13,2019-05-13 23:59:59.999
26,1557792000000,0.13584,0.14592,0.13522,0.14364,15364198.5,1557878399999,2164179.56229,11784,7549518.3,1067166.918114,0,2019-05-14,2019-05-14 23:59:59.999
27,1557878400000,0.14339,0.16,0.14041,0.15615,12495797.8,1557964799999,1894453.725661,9412,5959354.4,904044.330166,0,2019-05-15,2019-05-15 23:59:59.999
28,1557964800000,0.15615,0.16979,0.143,0.15225,13521081.3,1558051199999,2093598.39955,9241,6968491.6,1076654.964809,0,2019-05-16,2019-05-16 23:59:59.999
29,1558051200000,0.15265,0.163,0.13263,0.16189,15223426.2,1558137599999,2228623.71184,10800,7160077.5,1053301.452559,0,2019-05-17,2019-05-17 23:59:59.999
30,1558137600000,0.16191,0.163,0.145,0.14734,8619900.7,1558223999999,1325418.637969,6788,3717583.3,574113.044328,0,2019-05-18,2019-05-18 23:59:59.999
31,1558224000000,0.14734,0.15654,0.14613,0.15288,10023791.6,1558310399999,1532520.184753,6991,4378163.6,670992.035549,0,2019-05-19,2019-05-19 23:59:59.999
32,1558310400000,0.15288,0.15572,0.146,0.15303,8600786.5,1558396799999,1290871.329088,6823,4069598.9,609977.258022,0,2019-05-20,2019-05-20 23:59:59.999
33,1558396800000,0.15302,0.18379,0.14902,0.17,21800521.0,1558483199999,3584609.299109,14240,9873739.1,1624260.770552,0,2019-05-21,2019-05-21 23:59:59.999
34,1558483200000,0.1697,0.194,0.15052,0.15488,35563002.4,1558569599999,6184475.195154,20785,17329944.4,3021610.988627,0,2019-05-22,2019-05-22 23:59:59.999
35,1558569600000,0.15438,0.17,0.15232,0.16721,12957391.7,1558655999999,2068892.712835,7894,5469209.6,873832.709903,0,2019-05-23,2019-05-23 23:59:59.999
36,1558656000000,0.16721,0.17665,0.1586,0.16081,12152994.1,1558742399999,2030691.603352,7823,5649622.7,946602.254946,0,2019-05-24,2019-05-24 23:59:59.999
37,1558742400000,0.16154,0.17224,0.1603,0.16634,4977833.7,1558828799999,827272.849785,4430,2173283.6,361377.014378,0,2019-05-25,2019-05-25 23:59:59.999
38,1558828800000,0.16656,0.17375,0.15562,0.159,9787740.5,1558915199999,1604455.919621,6426,4570916.7,751671.368952,0,2019-05-26,2019-05-26 23:59:59.999
39,1558915200000,0.15972,0.16864,0.15886,0.16329,7150219.1,1559001599999,1170188.613208,5525,2684988.8,440280.687134,0,2019-05-27,2019-05-27 23:59:59.999
40,1559001600000,0.16329,0.16961,0.15884,0.16749,6327783.4,1559087999999,1040865.69201,4787,3125255.9,515479.62542,0,2019-05-28,2019-05-28 23:59:59.999
41,1559088000000,0.16674,0.17763,0.16066,0.16746,6956198.1,1559174399999,1171164.020779,5960,3508875.6,591948.505822,0,2019-05-29,2019-05-29 23:59:59.999
42,1559174400000,0.16745,0.17261,0.14562,0.1517,9845807.4,1559260799999,1586627.182919,7668,3693410.5,596375.268934,0,2019-05-30,2019-05-30 23:59:59.999
43,1559260800000,0.1517,0.1568,0.1459,0.15668,4161116.0,1559347199999,631532.260604,3406,1801132.9,274013.333508,0,2019-05-31,2019-05-31 23:59:59.999
44,1559347200000,0.15646,0.15748,0.14864,0.15172,5211304.9,1559433599999,795190.116584,3071,2605324.2,398139.859953,0,2019-06-01,2019-06-01 23:59:59.999
45,1559433600000,0.15164,0.1768,0.15042,0.16895,13581383.9,1559519999999,2255518.914463,9031,6362326.3,1058063.235115,0,2019-06-02,2019-06-02 23:59:59.999
46,1559520000000,0.16857,0.16991,0.14948,0.15089,12568741.8,1559606399999,2020919.269671,7559,5055927.7,815408.537526,0,2019-06-03,2019-06-03 23:59:59.999
47,1559606400000,0.15089,0.15204,0.13773,0.14325,10592472.7,1559692799999,1534383.439315,6079,5261315.6,762013.109402,0,2019-06-04,2019-06-04 23:59:59.999
48,1559692800000,0.14318,0.15032,0.13979,0.1458,5831962.4,1559779199999,844929.866604,3924,2578635.3,373445.042908,0,2019-06-05,2019-06-05 23:59:59.999
49,1559779200000,0.14577,0.1505,0.14153,0.14934,5466712.4,1559865599999,801077.009548,3973,2677104.2,392686.051064,0,2019-06-06,2019-06-06 23:59:59.999
50,1559865600000,0.15012,0.15725,0.14927,0.15274,7529741.5,1559951999999,1158120.302287,5183,3357346.1,516498.43158,0,2019-06-07,2019-06-07 23:59:59.999
51,1559952000000,0.15202,0.15645,0.14962,0.15244,3263813.0,1560038399999,500534.300898,2816,1477831.4,226745.004673,0,2019-06-08,2019-06-08 23:59:59.999
52,1560038400000,0.15308,0.15468,0.14143,0.14465,6173143.2,1560124799999,921642.621026,4097,2328529.1,346842.452081,0,2019-06-09,2019-06-09 23:59:59.999
53,1560124800000,0.14423,0.153,0.14158,0.15142,4014661.1,1560211199999,601304.339266,3006,2079832.8,312127.506621,0,2019-06-10,2019-06-10 23:59:59.999
54,1560211200000,0.15233,0.163,0.1485,0.15913,10100813.5,1560297599999,1582313.790188,7630,5016397.8,786671.613572,0,2019-06-11,2019-06-11 23:59:59.999
55,1560297600000,0.15913,0.15979,0.15375,0.15623,5743760.9,1560383999999,899578.673577,4302,2397817.1,375790.723884,0,2019-06-12,2019-06-12 23:59:59.999
56,1560384000000,0.15663,0.15749,0.1497,0.15025,7449192.4,1560470399999,1140607.23881,4374,2663114.0,406906.539876,0,2019-06-13,2019-06-13 23:59:59.999
57,1560470400000,0.14984,0.156,0.14045,0.14591,5588669.1,1560556799999,821613.093651,4537,2137808.7,315164.251562,0,2019-06-14,2019-06-14 23:59:59.999
58,1560556800000,0.14583,0.14962,0.1446,0.14834,3653417.0,1560643199999,538657.194649,2936,1413817.7,208775.233293,0,2019-06-15,2019-06-15 23:59:59.999
59,1560643200000,0.1484,0.1487,0.143,0.14806,2898826.7,1560729599999,423636.341687,2953,1085983.9,159155.628903,0,2019-06-16,2019-06-16 23:59:59.999
60,1560729600000,0.14875,0.14935,0.144,0.14521,3830131.6,1560815999999,561566.894773,2994,1475102.2,216726.249704,0,2019-06-17,2019-06-17 23:59:59.999
61,1560816000000,0.14599,0.14628,0.13702,0.14017,3834157.7,1560902399999,540211.166154,3499,1074351.3,151308.820903,0,2019-06-18,2019-06-18 23:59:59.999
62,1560902400000,0.14011,0.14327,0.139,0.14242,3103222.3,1560988799999,439309.271949,2690,1141738.6,161922.338518,0,2019-06-19,2019-06-19 23:59:59.999
63,1560988800000,0.14242,0.1426,0.1326,0.13514,4139254.0,1561075199999,567262.941385,2920,1087584.1,149161.328914,0,2019-06-20,2019-06-20 23:59:59.999
64,1561075200000,0.1352,0.13762,0.133,0.13643,2602328.2,1561161599999,352589.470018,2139,1289363.5,174704.22186,0,2019-06-21,2019-06-21 23:59:59.999
65,1561161600000,0.13625,0.13894,0.13146,0.13717,6352899.6,1561247999999,860431.166712,5031,2729713.3,370236.260819,0,2019-06-22,2019-06-22 23:59:59.999
66,1561248000000,0.13722,0.14237,0.13532,0.13668,4472659.8,1561334399999,621204.133755,3987,1922145.3,267542.781754,0,2019-06-23,2019-06-23 23:59:59.999
67,1561334400000,0.13554,0.13939,0.134,0.13695,2510167.8,1561420799999,342683.406725,2286,1078575.2,147445.693422,0,2019-06-24,2019-06-24 23:59:59.999
68,1561420800000,0.13695,0.14123,0.13393,0.135,4115034.7,1561507199999,560316.480463,2887,2002359.5,272779.149429,0,2019-06-25,2019-06-25 23:59:59.999
69,1561507200000,0.135,0.13588,0.12069,0.12721,7894921.5,1561593599999,1034799.939567,5533,3239502.5,425541.929293,0,2019-06-26,2019-06-26 23:59:59.999
70,1561593600000,0.12721,0.12959,0.11364,0.11756,5626107.3,1561679999999,678796.277924,4947,2253528.8,272536.03499,0,2019-06-27,2019-06-27 23:59:59.999
71,1561680000000,0.11758,0.12349,0.115,0.12115,3651290.6,1561766399999,437906.416325,2711,1393667.2,167228.022363,0,2019-06-28,2019-06-28 23:59:59.999
72,1561766400000,0.12115,0.12482,0.1163,0.12347,3350481.4,1561852799999,404664.971073,2828,1486930.5,179468.787432,0,2019-06-29,2019-06-29 23:59:59.999
73,1561852800000,0.12373,0.12809,0.11603,0.12163,6568604.6,1561939199999,809375.621526,4473,2862677.9,353647.36147,0,2019-06-30,2019-06-30 23:59:59.999
74,1561939200000,0.12212,0.13459,0.12188,0.12737,10225131.5,1562025599999,1309426.932675,7056,4468072.6,572662.732537,0,2019-07-01,2019-07-01 23:59:59.999
75,1562025600000,0.12789,0.12806,0.11764,0.12186,5519689.8,1562111999999,669730.194235,3797,2281840.9,277580.226578,0,2019-07-02,2019-07-02 23:59:59.999
76,1562112000000,0.12098,0.12278,0.1183,0.12108,2183364.1,1562198399999,263394.050572,2044,1037337.4,125360.881002,0,2019-07-03,2019-07-03 23:59:59.999
77,1562198400000,0.12099,0.12225,0.11534,0.11678,2261206.4,1562284799999,267403.908349,1759,826707.3,97889.527695,0,2019-07-04,2019-07-04 23:59:59.999
78,1562284800000,0.11561,0.11988,0.1143,0.1165,1938655.4,1562371199999,224546.996439,1752,989401.0,114968.810608,0,2019-07-05,2019-07-05 23:59:59.999
79,1562371200000,0.1161,0.1247,0.1161,0.12162,3707124.9,1562457599999,448290.518828,2809,1709339.0,206847.074922,0,2019-07-06,2019-07-06 23:59:59.999
80,1562457600000,0.12136,0.1309,0.12066,0.12492,5160535.1,1562543999999,651203.882991,3668,2434380.0,307386.456536,0,2019-07-07,2019-07-07 23:59:59.999
81,1562544000000,0.1249,0.1265,0.11804,0.11958,3488199.0,1562630399999,421200.50336,2886,1590555.9,192166.424791,0,2019-07-08,2019-07-08 23:59:59.999
82,1562630400000,0.1196,0.1218,0.11695,0.12101,2293797.8,1562716799999,273652.574773,1825,867185.3,103460.752111,0,2019-07-09,2019-07-09 23:59:59.999
83,1562716800000,0.12019,0.12365,0.1103,0.11208,2871139.5,1562803199999,332118.891136,2552,1180134.3,136760.853018,0,2019-07-10,2019-07-10 23:59:59.999
84,1562803200000,0.11098,0.11285,0.09635,0.09969,2689385.8,1562889599999,277472.464558,1982,874901.6,90039.557749,0,2019-07-11,2019-07-11 23:59:59.999
85,1562889600000,0.09944,0.10783,0.09572,0.10509,2838904.8,1562975999999,291429.488502,2209,1084654.9,111696.476529,0,2019-07-12,2019-07-12 23:59:59.999
86,1562976000000,0.10497,0.10593,0.09848,0.10158,1818876.0,1563062399999,184276.989179,1690,863200.9,87240.818433,0,2019-07-13,2019-07-13 23:59:59.999
87,1563062400000,0.1016,0.11592,0.09949,0.10468,15741838.0,1563148799999,1710002.249982,8290,5741449.0,624947.430986,0,2019-07-14,2019-07-14 23:59:59.999
88,1563148800000,0.10417,0.10861,0.09561,0.10143,7739394.2,1563235199999,776674.541414,4083,3309170.5,332515.18584,0,2019-07-15,2019-07-15 23:59:59.999
89,1563235200000,0.10132,0.10297,0.0802,0.08214,9354860.1,1563321599999,812543.62483,3638,4333694.2,371724.937171,0,2019-07-16,2019-07-16 23:59:59.999
90,1563321600000,0.08213,0.08997,0.0775,0.08437,8053497.2,1563407999999,664383.044852,3554,3816993.5,314294.860525,0,2019-07-17,2019-07-17 23:59:59.999
91,1563408000000,0.08437,0.08889,0.08103,0.08839,4007494.1,1563494399999,343659.07386,2435,2126375.1,183135.673549,0,2019-07-18,2019-07-18 23:59:59.999
92,1563494400000,0.08839,0.091,0.08407,0.08875,2591233.8,1563580799999,224423.98717,1667,1562366.7,135452.546441,0,2019-07-19,2019-07-19 23:59:59.999
