open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date_open_time,date_close_time
1573689600000,0.00506000,0.00666600,0.00450000,0.00466000,22670252.00000000,1573775999999,110090.79116000,832,9528122.00000000,46193.21105600,0,2019-11-14,2019-11-14 23:59:59.999
1573776000000,0.00466000,0.00510000,0.00453000,0.00490000,15260184.00000000,1573862399999,73582.33732600,522,4011357.00000000,19408.04162500,0,2019-11-15,2019-11-15 23:59:59.999
1573862400000,0.00490000,0.00496600,0.00471900,0.00481500,8006198.00000000,1573948799999,38974.64933200,488,3339721.00000000,16259.24963500,0,2019-11-16,2019-11-16 23:59:59.999
1573948800000,0.00481300,0.00483700,0.00459000,0.00473200,4813704.00000000,1574035199999,22612.16862700,322,2517330.00000000,11852.49732000,0,2019-11-17,2019-11-17 23:59:59.999
1574035200000,0.00473200,0.00473200,0.00420300,0.00430700,3480591.00000000,1574121599999,15526.60212300,337,1418206.00000000,6334.13034100,0,2019-11-18,2019-11-18 23:59:59.999
1574121600000,0.00430600,0.00456900,0.00410000,0.00435000,10251602.00000000,1574207999999,43831.88777200,562,4666796.00000000,20070.78075400,0,2019-11-19,2019-11-19 23:59:59.999
1574208000000,0.00434200,0.00439900,0.00425800,0.00436100,1974887.00000000,1574294399999,8497.36234800,133,1156611.00000000,4981.53986800,0,2019-11-20,2019-11-20 23:59:59.999
1574294400000,0.00431600,0.00435300,0.00384100,0.00395500,2247936.00000000,1574380799999,9039.35166700,265,882340.00000000,3553.96704500,0,2019-11-21,2019-11-21 23:59:59.999
1574380800000,0.00393600,0.00441800,0.00332500,0.00389900,8209281.00000000,1574467199999,32116.59268300,467,3470670.00000000,13746.89838700,0,2019-11-22,2019-11-22 23:59:59.999
1574467200000,0.00389400,0.00422200,0.00376900,0.00416400,4551080.00000000,1574553599999,18158.84229300,357,1768127.00000000,7069.89418800,0,2019-11-23,2019-11-23 23:59:59.999
1574553600000,0.00417000,0.00417200,0.00365000,0.00367200,5443069.00000000,1574639999999,21057.76993300,339,3138605.00000000,12176.80310100,0,2019-11-24,2019-11-24 23:59:59.999
1574640000000,0.00366000,0.00408300,0.00342600,0.00383300,7035921.00000000,1574726399999,26945.99634300,388,3871554.00000000,14948.93377100,0,2019-11-25,2019-11-25 23:59:59.999
1574726400000,0.00388300,0.00419000,0.00380800,0.00412400,4929135.00000000,1574812799999,20113.74955700,358,2192297.00000000,8964.44559800,0,2019-11-26,2019-11-26 23:59:59.999
1574812800000,0.00412300,0.00429800,0.00377500,0.00422400,4192311.00000000,1574899199999,16725.40121700,291,2299815.00000000,9096.30850400,0,2019-11-27,2019-11-27 23:59:59.999
1574899200000,0.00424500,0.00479900,0.00417200,0.00436400,21103761.00000000,1574985599999,95289.06754000,903,9969552.00000000,44958.04229800,0,2019-11-28,2019-11-28 23:59:59.999
1574985600000,0.00436300,0.00464900,0.00427200,0.00463900,6965326.00000000,1575071999999,31086.73924500,541,2727830.00000000,12193.59825900,0,2019-11-29,2019-11-29 23:59:59.999
1575072000000,0.00463900,0.00463900,0.00416800,0.00434200,4913148.00000000,1575158399999,21443.38516100,428,1796628.00000000,7880.64557700,0,2019-11-30,2019-11-30 23:59:59.999
1575158400000,0.00426700,0.00431400,0.00401100,0.00418900,7059172.00000000,1575244799999,29398.17332500,541,1513218.00000000,6285.35331000,0,2019-12-01,2019-12-01 23:59:59.999
